Month,Date,Event (English),Event (Arabic)
Muharram,1,Islamic New Year,رأس السنة الهجرية
Muharram,10,Day of Ashura (Martyrdom of Imam Hussain; Passing of Prophet Musa),يوم عاشوراء (استشهاد الإمام الحسين؛ نجاة النبي موسى)
Safar,28,Death of Prophet Muhammad (PBUH),وفاة النبي محمد ﷺ
Rabi al-Awwal,12,Mawlid an-Nabi (Birth of Prophet Muhammad - Sunni),مولد النبي (حسب أهل السنة)
Rabi al-Awwal,17,Mawlid an-Nabi (Birth of Prophet Muhammad - Shia),مولد النبي (حسب الشيعة)
Rajab,13,Birthday of Ali ibn Abi Talib,مولد علي بن أبي طالب
Rajab,27,Laylat al-Miraj (Ascension of Prophet Muhammad),ليلة المعراج (إسراء ومعراج النبي ﷺ)
Sha'ban,15,Shab-e-Baraat (Night of Forgiveness),ليلة البراءة (ليلة المغفرة)
Ramadan,1,First day of fasting,أول يوم من الصيام
Ramadan,17,Nuzul al-Qur'an (Revelation of the Quran),نزول القرآن
Ramadan,21 Odd Nights,Laylat al-Qadr (Night of Power),ليلة القدر
Ramadan,22 Even Nights,Laylat al-Qadr (Night of Power),ليلة القدر
Ramadan,23 Odd Nights,Laylat al-Qadr (Night of Power),ليلة القدر
Ramadan,24 Even Nights,Laylat al-Qadr (Night of Power),ليلة القدر
Ramadan,25 Odd Nights,Laylat al-Qadr (Night of Power),ليلة القدر
Ramadan,26 Odd Nights,Laylat al-Qadr (Night of Power),ليلة القدر
Ramadan,27 Even Nights,Laylat al-Qadr (Night of Power),ليلة القدر
Ramadan,28 Odd Nights,Laylat al-Qadr (Night of Power),ليلة القدر
Ramadan,29 Even Nights,Laylat al-Qadr (Night of Power),ليلة القدر
Shawwal,1,Eid al-Fitr (Festival of Breaking Fast),عيد الفطر
Dhu al-Hijjah,8-10,Hajj Pilgrimage,موسم الحج
Dhu al-Hijjah,9,Day of Arafah,يوم عرفة
Dhu al-Hijjah,10,Eid al-Adha (Festival of Sacrifice),عيد الأضحى
